Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
000792,Qinghai Salt Lake Industry Co Ltd - Ordinary Share,446,CNY,30.01,30.01,0.44,0.00,2682.71008914852,0.00
002371,NAURA,47,CNY,283,283,-11.00,0.00,2665.98180993215,0.00
002594,BYD,59,CNY,226.8,226.8,-14.47,0.00,2682.05667205956,0.00
0700,TENCENT,35,HKD,479,460,7.00,108.86,2744.35963755676,4.13
300014,EVE,142,CNY,93.27,93.27,-2.03,0.00,2654.62518040424,0.00
300760,Shenzhen Mindray Bio-Medical Electronics Co. Ltd. ,41,CNY,323.28,323.28,-2.73,0.00,2656.6575881595,0.00
500031,Bajaj Electricals Ltd,138,INR,1221.9,1198.25,5.20,55.75,2880.22970264637,1.97
517569,KEI INDUSTRI,144,INR,1099.65,1076.7,-14.35,56.45,2704.7637933924,2.13
532953,V-Guard Industries Ltd,725,INR,214.95,215.6,0.05,-8.05,2661.87605530756,-0.30
538962,Minda Corporation Ltd,780,INR,204.25,198.4,3.45,77.94,2721.25375589399,2.95
539978,Quess Corp Ltd,220,INR,727.6,721.05,-12.60,24.61,2734.18404552906,0.91
543270,MTAR Technologies Ltd.,72,INR,2215.95,2165.15,-39.85,62.48,2725.24045285677,2.35
543320,Zomato Ltd.,1759,INR,94.2,90.4,-2.85,114.17,2830.27813196103,4.20
601012,Xi'an Longi Silicon Materials Co Ltd,189,CNY,70.11,70.11,-4.32,0.00,2655.91798415389,0.00
601318,PING AN INSURANCE,266,CNY,49.97,49.97,-0.82,0.00,2664.18190641714,0.00
7733,OLYMPUS CORP,100,JPY,2578,2412,-24.50,183.56,2850.76411089451,6.88
9432,Nippon Telegraph & Telephone Corp NTT,74,JPY,3362,3240,24.00,99.83,2751.10900551289,3.77
AC,AIR CANADA,478,CAD,23.33,21.91,0.27,678.76,11151.74,6.48
ALK,Alaska Air Group Inc.,153,USD,53.49,51.48,0.25,392.09,10434.2752402821,3.90
AMZN,Amazon.com Inc. ,3,USD,3152.79,2825,375.88,"1,253.76",12059.0906252621,11.60
BHC,Bausch Health Companies Inc.,336,CAD,31.27,30.99,-0.08,94.08,10506.72,0.90
BNDX,"Vanguard Group, Inc. - Vanguard Total International Bond ETF",60,USD,53.8,54.43,-0.20,-48.19,4115.58699208703,-1.16
BWZ,SPDR Blmbrg Brc Shs ,108,USD,30.31,30.07,-0.03,33.05,4173.57239989376,0.80
CAE,CAE INC,336,CAD,31.74,30.93,0.18,272.16,10664.64,2.62
CJR.B,CORUS ENTERTAINMENT INC,2100,CAD,5.22,4.96,0.10,546.00,10962,5.24
CP,CANADIAN PACIFIC RAILWAY LTD,111,CAD,90.1,93.16,-0.04,-339.66,10001.1,-3.28
CR,CREW ENERGY INC,3125,CAD,3.75,3.4,0.03,"1,093.75",11718.75,10.29
CWR,,296,GBP,5.255,5.215,-0.28,20.43,2683.84093780956,0.77
DIS,The Walt Disney Company,59,USD,142.02,136.17,1.99,440.05,10683.1611562441,4.30
EHC,Encompass Health Corporation,131,USD,60.25,61.55,-1.22,-217.13,10062.9799355003,-2.11
ENGI,Engie SA,138,EUR,14.104,13.554,0.04,110.86,2842.80430210941,4.06
GOOG,Alphabet Inc. ,7,USD,2860.32,2978.37,7.31,"-1,053.57",25527.6550484649,-3.96
GPK,Graphic Packaging Holding Company,220,USD,18.57,18.2,-0.10,103.78,5208.74197567297,2.03
GT,The Goodyear Tire & Rubber Company ,420,USD,21.03,19.55,0.06,792.52,11261.2557826233,7.57
HYFM,Hydrofarm Holdings Group Inc,464,USD,18.01,17.7,0.36,183.39,10654.423445339,1.75
